using time: 0.017479, loss: 0.81473845
using time: 0.020380, loss: 0.81494933
using time: 0.016904, loss: 0.84263712
using time: 0.016156, loss: 0.83487356
using time: 0.019958, loss: 0.80739570
using time: 0.018056, loss: 0.84252787
using time: 0.024158, loss: 0.82535315
using time: 0.016627, loss: 0.87327790
using time: 0.014316, loss: 0.84692210
using time: 0.015370, loss: 0.83653045
using time: 0.018357, loss: 0.84154981
using time: 0.020189, loss: 0.81437910
using time: 0.022243, loss: 0.78803629
using time: 0.029975, loss: 0.83598244
using time: 0.017999, loss: 0.83295882
using time: 0.014842, loss: 0.81362695
using time: 0.018789, loss: 0.82971549
using time: 0.022041, loss: 0.79493022
using time: 0.015467, loss: 0.83844721
using time: 0.018454, loss: 0.80460191
using time: 0.016740, loss: 0.80240685
using time: 0.021316, loss: 0.84575981
using time: 0.018767, loss: 0.80517030
using time: 0.022235, loss: 0.80705190
using time: 0.013781, loss: 0.81754225
using time: 0.014686, loss: 0.80937076
using time: 0.013264, loss: 0.86526412
using time: 0.017460, loss: 0.82725847
using time: 0.015431, loss: 0.78842002
using time: 0.026237, loss: 0.81167358
using time: 0.015541, loss: 0.82695395
using time: 0.024240, loss: 0.83526862
using time: 0.028147, loss: 0.85796022
using time: 0.028912, loss: 0.85912126
using time: 0.018217, loss: 0.80395800
using time: 0.021110, loss: 0.84304953
using time: 0.021372, loss: 0.79669797
using time: 0.017692, loss: 0.82952303
using time: 0.018859, loss: 0.89651674
using time: 0.018907, loss: 0.84387851
using time: 0.017748, loss: 0.83080763
using time: 0.015777, loss: 0.85528284
using time: 0.014723, loss: 0.83918655
using time: 0.019839, loss: 0.84641939
using time: 0.033102, loss: 0.83220625
using time: 0.017328, loss: 0.81475914
using time: 0.012933, loss: 0.84950739
using time: 0.018592, loss: 0.83946532
using time: 0.019217, loss: 0.82683229
using time: 0.016212, loss: 0.82691681
using time: 0.015124, loss: 0.81272972
using time: 0.034762, loss: 0.81540185
using time: 0.021283, loss: 0.84916794
using time: 0.016192, loss: 0.85472822
using time: 0.024016, loss: 0.82979882
using time: 0.016423, loss: 0.82816529
using time: 0.018208, loss: 0.81427789
using time: 0.015397, loss: 0.86028326
using time: 0.019310, loss: 0.82604307
using time: 0.020072, loss: 0.84384340
using time: 0.014989, loss: 0.75496465
using time: 0.022784, loss: 0.83989668
using time: 0.016928, loss: 0.81737274
using time: 0.025352, loss: 0.80796087
using time: 0.013120, loss: 0.85459650
using time: 0.016799, loss: 0.88779879
using time: 0.022052, loss: 0.82884252
using time: 0.013685, loss: 0.82651281
using time: 0.022808, loss: 0.87633544
using time: 0.020807, loss: 0.83288252
using time: 0.016979, loss: 0.84874433
using time: 0.013954, loss: 0.83384407
using time: 0.021484, loss: 0.84565306
using time: 0.019451, loss: 0.81135368
using time: 0.012987, loss: 0.88024908
using time: 0.019285, loss: 0.82288122
using time: 0.016596, loss: 0.85917222
using time: 0.015089, loss: 0.80719316
using time: 0.019160, loss: 0.78048295
using time: 0.017503, loss: 0.85503268
using time: 0.018133, loss: 0.82579046
using time: 0.017882, loss: 0.88270360
using time: 0.023336, loss: 0.85548705
using time: 0.020417, loss: 0.82131553
using time: 0.020633, loss: 0.81944269
using time: 0.017317, loss: 0.82113373
using time: 0.013359, loss: 0.83485091
using time: 0.021585, loss: 0.81527656
using time: 0.014479, loss: 0.78711015
using time: 0.015629, loss: 0.87545264
using time: 0.025769, loss: 0.82295853
using time: 0.018230, loss: 0.83863205
